job_title,company,job_board,location,work_mode,experience_required,salary_lpa,match_score,matched_skills,why_selected,job_url,posted_date,job_description,apply_status,data_source
Technical Lead,Atqor,naukri,Ahmedabad,onsite,5-10 Yrs,,45,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 5-10 Yrs, user has 9.0y | - Role: Technical Lead (match: 100%) | - Location: Ahmedabad | - Salary:  | - Posted: 2 days ago",https://www.naukri.com/job-listings-technical-lead-atqor-ahmedabad-5-to-10-years-030426024177,2 days ago,About CompanyatQor is headquartered at Los Angeles USA with local operations in Canada...,Skipped,scraped
TECHNICAL LEAD - Moodle,Happiest Minds Technologies,naukri,Bengaluru,onsite,8-11 Yrs,,45,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 8-11 Yrs, user has 9.0y | - Role: TECHNICAL LEAD - Moodle (match: 100%) | - Location: Bengaluru | - Salary:  | - Posted: 2 days ago",https://www.naukri.com/job-listings-technical-lead-moodle-happiest-minds-technologies-bengaluru-8-to-11-years-030426020191,2 days ago,"Qualifications: . Bachelors degree in Project Management, Education Technology, or a re...",Skipped,scraped
TD And E-TD-Technical Scrum Lead,EY,naukri,Hyderabad,onsite,5-10 Yrs,,39,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 5-10 Yrs, user has 9.0y | - Role: TD And E-TD-Technical Scrum Lead (match: 70%) | - Location: Hyderabad | - Salary:  | - Posted: 2 days ago",https://www.naukri.com/job-listings-td-and-e-td-technical-scrum-lead-ernst-young-hyderabad-5-to-10-years-030426505272,2 days ago,". Bachelors degree (BE / BTech) in Computer Science, Information Technology, or a relat...",Skipped,scraped
Senior Software Engineer- Yalla,Castrol India Limited,naukri,Pune,onsite,0-5 Yrs,,37,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 0-5 Yrs, user has 9.0y | - Role: Senior Software Engineer- Yalla (match: 100%) | - Location: Pune | - Salary:  | - Posted: 6 days ago",https://www.naukri.com/job-listings-senior-software-engineer-yalla-castrol-india-limited-pune-0-to-5-years-300326502849,6 days ago,"Bachelor s degree in Computer Science, Engineering, Computer Information Systems or equ...",Skipped,scraped
Sr. Software Engineer,Nomura,naukri,Mumbai,onsite,1-5 Yrs,,37,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 1-5 Yrs, user has 9.0y | - Role: Sr. Software Engineer (match: 100%) | - Location: Mumbai | - Salary: ",https://www.naukri.com/job-listings-sr-software-engineer-nomura-capital-india-private-limited-mumbai-1-to-5-years-270625502686,,Good knowledge of relational database (MSSQL / Oracle) & SQL . Good knowledge of Oracle...,Skipped,scraped
Salesfroce Technical Manager/Lead,SK It Shoulders,naukri,Chennai(Panaiyur),onsite,10-15 Yrs,,35,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 10-15 Yrs, user has 9.0y | - Role: Salesfroce Technical Manager/Lead (match: 70%) | - Location: Chennai(Panaiyur) | - Salary:  | - Posted: 2 days ago",https://www.naukri.com/job-listings-salesfroce-technical-manager-lead-sk-it-shoulders-chennai-10-to-15-years-030426015350,2 days ago,We are looking for a strong Technical Lead with Manager expereince in Salesforce Platfo...,Skipped,scraped
Technical Lead,BayaTree,naukri,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",onsite,No fixed duration,,35,,"- Skills: 0% match (0 aligned: ) | - Experience: requires No fixed duration, user has 9.0y | - Role: Technical Lead (match: 100%) | - Location: Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru | - Salary: ",https://www.naukri.com/job-listings-technical-lead-bayatree-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-5-years-240223501760,,,Skipped,scraped
Senior Software Engineer,Eurofins,naukri,Bengaluru,onsite,1-4 Yrs,,35,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 1-4 Yrs, user has 9.0y | - Role: Senior Software Engineer (match: 100%) | - Location: Bengaluru | - Salary:  | - Posted: 5 days ago",https://www.naukri.com/job-listings-senior-software-engineer-eurofins-it-solutions-india-pvt-ltd-bengaluru-1-to-4-years-300326937926,5 days ago,Experience: . 1 to 4 years of experience with developing end-to-end web applications us...,Skipped,scraped
Wordpress Developer - Software Engineer/Senior Software Engineer,Bolas Intelli Solutions,naukri,Mangalore,onsite,0-4 Yrs,,35,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 0-4 Yrs, user has 9.0y | - Role: Wordpress Developer - Software Engineer/Senior Software Engineer (match: 100%) | - Location: Mangalore | - Salary: ",https://www.naukri.com/job-listings-wordpress-developer-software-engineer-senior-software-engineer-bolas-intelli-solutions-pvt-ltd-mangalore-0-to-4-years-131118500754,,Experience in coding for e-Commerce web applications / shopping cartsGood team playerGo...,Skipped,scraped
Sr. Software Engineer,Swipetouch Edutech,naukri,Vaishali,onsite,1-4 Yrs,,35,,"- Skills: 0% match (0 aligned: ) | - Experience: requires 1-4 Yrs, user has 9.0y | - Role: Sr. Software Engineer (match: 100%) | - Location: Vaishali | - Salary: ",https://www.naukri.com/job-listings-sr-software-engineer-swipetouch-edutech-vaishali-1-to-4-years-301025504075,,"Senior Software Engineer will create information systems by studying operations, des...",Skipped,scraped
