job_title,company,job_board,location,work_mode,experience_required,salary_lpa,match_score,matched_skills,why_selected,job_url,posted_date,job_description,apply_status,data_source
Senior Software Engineer - Full Stack,IonPulse.ai,naukri,Remote,remote,3-8 Yrs,,69,fullstack developmentdjangoreact.jsawspython,"- Skills: 100% match (1 aligned: fullstack developmentdjangoreact.jsawspython) | - Experience: requires 3-8 Yrs, user has 9.0y | - Role: Senior Software Engineer - Full Stack (match: 70%) | - Location: Remote | - Salary:  | - Posted: Today",https://www.naukri.com/job-listings-senior-software-engineer-full-stack-ionpulse-ai-india-3-to-8-years-050426003219,Today,"IMMEDIATE HIRINGObjective of This RoleDrive the design, development, and deployment of ...",Skipped,scraped
Senior Software Engineer 2,99yellow,naukri,Hybrid - Noida,onsite,7-12 Yrs,,69,c#.net coreangularsqlblob storagefullstack developmentazure servicesdevelopment,"- Skills: 100% match (1 aligned: c#.net coreangularsqlblob storagefullstack developmentazure servicesdevelopment) | - Experience: requires 7-12 Yrs, user has 9.0y | - Role: Senior Software Engineer 2 (match: 70%) | - Location: Hybrid - Noida | - Salary:  | - Posted: Just now",https://www.naukri.com/job-listings-senior-software-engineer-2-99yellow-noida-7-to-12-years-050426004513,Just now,".NET Core, MVC, C#, Web API, LINQ, SQL Server, Entity Framework Angular, Micro Services...",Skipped,scraped
Java Developer,Capgemini,naukri,Bengaluru,onsite,5-10 Yrs,,69,javarestspring bootmicroservicesbootspringjava developmentdevelopment,"- Skills: 100% match (1 aligned: javarestspring bootmicroservicesbootspringjava developmentdevelopment) | - Experience: requires 5-10 Yrs, user has 9.0y | - Role: Java Developer (match: 70%) | - Location: Bengaluru | - Salary:  | - Posted: Today",https://www.naukri.com/job-listings-java-developer-capgemini-bengaluru-5-to-10-years-050426003469,Today,Strong proficiency in Java and Spring Boot and microservicesExperience on java latest v...,Skipped,scraped
Java Developer (5-9 years)-Guwahati,Infosys,naukri,Hybrid - Guwahati,onsite,5-10 Yrs,,69,javaspring bootmicroserviceshibernatespring mvcazure cloudbootcloud,"- Skills: 100% match (1 aligned: javaspring bootmicroserviceshibernatespring mvcazure cloudbootcloud) | - Experience: requires 5-10 Yrs, user has 9.0y | - Role: Java Developer (5-9 years)-Guwahati (match: 70%) | - Location: Hybrid - Guwahati | - Salary:  | - Posted: Today",https://www.naukri.com/job-listings-java-developer-5-9-years-guwahati-infosys-guwahati-5-to-10-years-050426003261,Today,"You will create requirement specifications from the business needs, define the to-be-pr...",Skipped,scraped
Java Developer / Team Lead Product Company,Logixgrid Technologies,naukri,Gurugram(Sohna Road),onsite,4-9 Yrs,,69,javahibernateteam managementangularjsstruts 2.0design patternsstruts frameworkproblem solving,"- Skills: 100% match (1 aligned: javahibernateteam managementangularjsstruts 2.0design patternsstruts frameworkproblem solving) | - Experience: requires 4-9 Yrs, user has 9.0y | - Role: Java Developer / Team Lead Product Company (match: 70%) | - Location: Gurugram(Sohna Road) | - Salary:  | - Posted: 1 day ago",https://www.naukri.com/job-listings-java-developer-team-lead-product-company-logixgrid-technologies-gurugram-4-to-9-years-040426012447,1 day ago,We are looking for a versatile candidate having good experience in end to end developme...,Skipped,scraped
"Job For Senior AI Engineer, Data Science @ Bengaluru @ Ai Palette(GD)",Globaldata,naukri,Hybrid - Bengaluru(Koramangala),onsite,5-7 Yrs,,69,data sciencepytorchlarge language modelasynciopythontensorflowai techniqueslanggraph,"- Skills: 100% match (1 aligned: data sciencepytorchlarge language modelasynciopythontensorflowai techniqueslanggraph) | - Experience: requires 5-7 Yrs, user has 9.0y | - Role: Job For Senior AI Engineer, Data Science @ Bengaluru @ Ai Palette(GD) (match: 70%) | - Location: Hybrid - Bengaluru(Koramangala) | - Salary: ",https://www.naukri.com/job-listings-for-senior-ai-engineer-data-science-bengaluru-ai-palette-gd-globaldata-bengaluru-5-to-7-years-050426003864,,"Hello, Greetings from GlobalData!!!Job Title: Senior AI Engineer, Data Science Locatio...",Skipped,scraped
Hirings -Senior Gen AI Engineer @Infosys (PAN INDIA),Infosys,naukri,"Hybrid - Hyderabad, Chennai, Bengaluru",onsite,5-10 Yrs,,69,agentic aigenerative aipythonragmcpseniorpanhiring,"- Skills: 100% match (1 aligned: agentic aigenerative aipythonragmcpseniorpanhiring) | - Experience: requires 5-10 Yrs, user has 9.0y | - Role: Hirings -Senior Gen AI Engineer @Infosys (PAN INDIA) (match: 70%) | - Location: Hybrid - Hyderabad, Chennai, Bengaluru | - Salary:  | - Posted: Today",https://www.naukri.com/job-listings-hirings-senior-gen-ai-engineer-infosys-pan-india-infosys-hyderabad-chennai-bengaluru-5-to-10-years-190326005765,Today,"Senior GenAI Engineer (Agentic AI, RAG, MCP, Python) Job Description Experience: 5+ ye...",Skipped,scraped
TECH LEAD AI Engineering,Art Technology And Software,naukri,Remote,remote,10-20 Yrs,,65,ai strategyartificial intelligenceragstatistical modelingai infrastructuremachine learningpythontechnical analysis,"- Skills: 100% match (1 aligned: ai strategyartificial intelligenceragstatistical modelingai infrastructuremachine learningpythontechnical analysis) | - Experience: requires 10-20 Yrs, user has 9.0y | - Role: TECH LEAD AI Engineering (match: 70%) | - Location: Remote | - Salary:  | - Posted: 1 day ago",https://www.naukri.com/job-listings-tech-lead-ai-engineering-art-technology-and-software-kochi-10-to-20-years-040426008383,1 day ago,Proven track record of technical leadership leading teams of 5+ engineers and deliverin...,Skipped,scraped
Practice Head AI & Engineering Services (Immediate Joiners only),AI COMPANY,naukri,"New Delhi, Bengaluru",onsite,10-15 Yrs,,65,aimlfull stackpractice developmentcursorpythondockerazure cloudaws,"- Skills: 100% match (1 aligned: aimlfull stackpractice developmentcursorpythondockerazure cloudaws) | - Experience: requires 10-15 Yrs, user has 9.0y | - Role: Practice Head AI & Engineering Services (Immediate Joiners only) (match: 70%) | - Location: New Delhi, Bengaluru | - Salary:  | - Posted: 1 day ago",https://www.naukri.com/job-listings-practice-head-ai-engineering-services-immediate-joiners-only-choice-consultants-new-delhi-bengaluru-10-to-15-years-120424003257,1 day ago,"Practice Head – AI & Engineering Services -Strategic Pathway to Services CEO, Deep Tech...",Skipped,scraped
Senior Software Engineer,Applied Bell Curve,naukri,Remote,remote,3-6 Yrs,,63,react.jsawspythonleadershipcommunication skillscoordinationseniorsoftware,"- Skills: 100% match (1 aligned: react.jsawspythonleadershipcommunication skillscoordinationseniorsoftware) | - Experience: requires 3-6 Yrs, user has 9.0y | - Role: Senior Software Engineer (match: 70%) | - Location: Remote | - Salary:  | - Posted: 1 day ago",https://www.naukri.com/job-listings-senior-software-engineer-applied-bell-curve-ahmedabad-3-to-6-years-040426009669,1 day ago,Position OverviewWe are looking for a high-potential Software Engineer with 3+ years of...,Skipped,scraped
